scenario_id,intent,tone,key_facts_count,model_name,generation_success,generation_latency_ms,generation_error,fact_integration_score,tone_consistency_score,actionability_score,average_score,fact_integration_reasoning,tone_consistency_reasoning,actionability_reasoning,fact_integration_error,tone_consistency_error,actionability_error,evaluated_at
1,Follow up after a job interview,formal,5,gemma-3-27b-it,True,7112.640142440796,,1.0,0.9667,0.6667,0.8778,Found 5/5 key facts. Score = 1.00,Opening:9.0/10 Body:10.0/10 Closing:10.0/10 avg=9.7 penalty=0.0 final=0.97,ClearAsk:YES NextStep:NO Timeframe:YES = 2/3 = 0.67,,,,2026-04-15T11:31:33.891266+00:00
2,Request a project status update from a team member,urgent,5,gemma-3-27b-it,True,4769.51789855957,,1.0,0.4333,1.0,0.8111,Found 5/5 key facts. Score = 1.00,Opening:8.0/10 Body:7.0/10 Closing:1.0/10 avg=5.3 penalty=0.1 final=0.43,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:31:50.580951+00:00
3,Apologize for a service outage and reassure a customer,empathetic,5,gemma-3-27b-it,True,5926.552057266235,,1.0,0.7667,0.3333,0.7,Found 5/5 key facts. Score = 1.00,Opening:8.0/10 Body:8.0/10 Closing:7.0/10 avg=7.7 penalty=0.0 final=0.77,ClearAsk:NO NextStep:NO Timeframe:YES = 1/3 = 0.33,,,,2026-04-15T11:32:10.959467+00:00
4,Send a sales proposal to a potential client,formal,5,gemma-3-27b-it,True,5859.640121459961,,1.0,0.9667,1.0,0.9889,Found 5/5 key facts. Score = 1.00,Opening:9.0/10 Body:10.0/10 Closing:10.0/10 avg=9.7 penalty=0.0 final=0.97,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:32:36.764345+00:00
5,Inform a client about a project delay,empathetic,5,gemma-3-27b-it,True,7459.195137023926,,1.0,0.4667,1.0,0.8222,Found 5/5 key facts. Score = 1.00,Opening:6.0/10 Body:8.0/10 Closing:3.0/10 avg=5.7 penalty=0.1 final=0.47,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:33:07.587587+00:00
6,Request approval for a budget increase from a manager,formal,5,gemma-3-27b-it,True,7257.843017578125,,1.0,0.9333,1.0,0.9778,Found 5/5 key facts. Score = 1.00,Opening:9.0/10 Body:9.0/10 Closing:10.0/10 avg=9.3 penalty=0.0 final=0.93,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:33:33.586016+00:00
7,Invite a colleague to collaborate on a research paper,casual,5,gemma-3-27b-it,True,5831.344127655029,,1.0,0.8,1.0,0.9333,Found 5/5 key facts. Score = 1.00,Opening:7.0/10 Body:9.0/10 Closing:8.0/10 avg=8.0 penalty=0.0 final=0.80,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:33:55.715516+00:00
8,Follow up on an unpaid invoice,formal,5,gemma-3-27b-it,True,7254.668712615967,,1.0,0.9667,1.0,0.9889,Found 5/5 key facts. Score = 1.00,Opening:9.0/10 Body:10.0/10 Closing:10.0/10 avg=9.7 penalty=0.0 final=0.97,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:34:30.533190+00:00
9,Welcome a new employee joining the team,casual,5,gemma-3-27b-it,True,6434.867858886719,,1.0,0.9,0.3333,0.7444,Found 5/5 key facts. Score = 1.00,Opening:10.0/10 Body:9.0/10 Closing:8.0/10 avg=9.0 penalty=0.0 final=0.90,ClearAsk:NO NextStep:NO Timeframe:YES = 1/3 = 0.33,,,,2026-04-15T11:34:55.007276+00:00
10,Escalate a critical production bug to senior engineering leadership,urgent,5,gemma-3-27b-it,True,4896.859884262085,,1.0,0.5,1.0,0.8333,Found 5/5 key facts. Score = 1.00,Opening:9.0/10 Body:8.0/10 Closing:1.0/10 avg=6.0 penalty=0.1 final=0.50,ClearAsk:YES NextStep:YES Timeframe:YES = 3/3 = 1.00,,,,2026-04-15T11:35:19.990228+00:00
